Paper Title,Venue,Year,Data,Users,Users lables,Tasks,Tasks Labels,"Visualization Levels (Disseminative visualization, Observational visualization, Analytical visualization, Model-developmental visualization)",Visual Representations,Visual analytics techniques (approach),DOI Link,Keyword Search On,Notes,link in Dropbox,Search
3D Regression Heat Map Analysis of Population Study Data,IEEE TVCG,2016,Epidemiological dataset - hepatic steatosis data and female breast density data set,,,They present a visual overview of epidemiological data that allows for the first time an interactive regression-based analysis of large feature sets with respect to a disease.,Visualize,Model-developmental Visualization,3D regression heat map,It provides a visualization that reveals insights into the data by highlighting relationships.,https://doi.org/10.1109/TVCG.2015.2468291,Epidemiological modeling + visualization,,https://www.dropbox.com/scl/fi/2g1gwkvxdlke2prl6p2qb/3D_Regression_Heat_Map_Analysis_of_Population_Study_Data.pdf?rlkey=c2ciyvy15q9cc91dqwkzfxiv1&dl=0,2nd round
A BIBLIOMETRIC ANALYSIS OF CHEMICAL ENGINEERING RESEARCH USING VOSVIEWER AND ITS CORRELATION WITH COVID-19 PANDEMIC CONDITION,,2021,Articles indexed by Google Scholar,,,The purpose of this research is to conduct bibliometric analysis in chemical engineering by combining mapping analysis using VOSviewer software.,Analyze,Observational Visualization,"line chart, Network visualization",,,Pandemic + visualization,bibliometric analysis,https://www.dropbox.com/scl/fi/9b57d2q5jah2oajn3wjwv/A-BIBLIOMETRIC-ANALYSIS-OF-CHEMICAL.pdf?rlkey=m33lvdvoxzm1bsul86eqrr0pw&dl=0,2nd round
A Bibliometric Analysis of COVID-19 Research Activity: A Call for Increased Output,,2020,"The PubMed database and the World Health Organization (WHO) database for publications pertaining to COVID-19 since December 2019 up until March 18, 2020.",-,,,,,"dotted chart, ","Bibliometric survey of COVID research by country. Not detailling research approaches, neither VIS",https://doi.org/10.7759/cureus.7357,,bibliometric analysis,https://www.dropbox.com/scl/fi/lwrp5qwlqw9y8gw7715hc/A-Bibliometric-Analysis-of-COVID-19-Research-Activity-A-Call-for-Increased-Output.pdf?rlkey=e3d17081j4qqc0s903wfb8o3f&dl=0,1st round
A Bibliometric and Visualization Analysis of Motor Learning in Preschoolers and Children over the Last 15 Years,,2022,Web of Science (WoS),,,They conduct a bibliometric and visualization analysis to provide a comprehensive overview of motor-learning progress in preschoolers and children over the previous 15 years.,Visualize,Observational Visualization ,"bar chart, cooperation-network visualization, network map, cluster map, timeline map, table with legend",,https://doi.org/10.3390/healthcare10081415,Healthcare + visualization,bibliometric analysis,https://www.dropbox.com/scl/fi/1b8dmpxzd2v8gjetg17vp/A-Bibliometric-and-Visualization-Analysis-of-Motor-Learning-in-Preschoolers-and-Children-over-the-Last-15-Years.pdf?rlkey=42f7phznrwm9ooboqis2css0o&dl=0,2nd round
A Bibliometric Visualization Analysis on Vaccine Development of Coronavirus Disease 2019 (COVID-19),,2023,Web of Science database,"(no vis for pandemics, only contains vis for metadata of publications)",,,,,"bar chart, network visualization map, clusters visualization map, ",,https://doi.org/10.3390/vaccines11020295,,bibliometric analysis,https://www.dropbox.com/scl/fi/9rqvd9x6mwxd7n5vqy46v/A-Bibliometric-Visualization-Analysis-on-Vaccine-Development-of-Coronavirus-Disease-2019-COVID-19.pdf?rlkey=d5gkc26f2kzfiuayhaig5jpec&dl=0,1st round
A Characterization of Interactive Visual Data Stories With a Spatio-Temporal Context,Computer Graphics Forum,2023,"Visual data stories from online journals: The New York Times, The Guardian, The Washington Post, The Economist, FiveThirtyAight, Bloomberg, The Pudding, Reuters, ProPublica, Berliner Morgenpost, and Zeit online.",no dedicated users; describes story-telling techniques using different charts,,"They propose a design space derived by merging and adjusting existing approaches, which they used
to categorize 130 collected web-based visual data stories with a spatio-temporal context from between 2018 and 2022",Model,Observational Visualization,"design space for visual storytelling and time-dependent component like timeline. animation, colors, interaction, geographic maps, Map-Independent Time Visualization, beeswarm plots, dotted line, ",spatio-temporal data within interactive visual data stories,https://doi.org/10.1111/cgf.14922,pandemic,,https://www.dropbox.com/scl/fi/csz2zq9ku4op4i6sf1cdv/Computer-Graphics-Forum-2023-Mayer-A-Characterization-of-Interactive-Visual-Data-Stories-With-a-Spatio-Temporal.pdf?rlkey=x08q8d9mwjc5t46y3uw7iijo6&dl=0,1st round
"A citizen science initiative for open data and visualization of COVID-19 outbreak in Kerala, India",,2020,Publicly available and crowd-verified data on COVID-19 outbreak in Kerala from the government bulletins and media outlets,"nonspecialists, public",[Public],"They reported a citizen science initiative on the COVID-19 outbreak in Kerala to collect and deposit
data in a structured format, which was utilized for visualizing the outbreak trend and describing demographic characteristics of affected individuals",Visualize,Disseminative Visualization,"dashboard includes plots, trend curve, hotspot map","infection case study on open data from Inidia. Use of dashboard (line charts, maps, aggregate statistics; dashboard made available and improved on user feedback. Could be described as overview first and detail on demand. No specific analytics methods exposed to users.",https://doi.org/10.1093/jamia/ocaa203,,,https://www.dropbox.com/scl/fi/wjt2vtjztvafcngfotbjv/A-citizen-science-initiative-for-open-data-and-visualization-of-COVID-19-outbreak-in-Kerala-India.pdf?rlkey=tojsjmk5vada37gw00b42o891&dl=0,1st round
A Conceptual Model for Geo-Online Exploratory Data Visualization: The Case of the COVID-19 Pandemic,,2021,"Multiple data types - genomic, clinical, epidemiological, health administration, socio-economic and environmental data","general users, policy-makers, researchers/analysts","[Public], [Policymakers], [Domain Subtype]: researchers/analysts","They propose a broad conceptualization of Web visualization tools for geo-spatial information, exceptionally employed to communicate the current pandemic",Visualize,Analytical Visualization,geo-dashboard,"encompassing conceptual model on COVID analysis perspectives, Distinguish by users groups (public, experts, decision makers..) type pf tool (dashboard, infographic, explorer, …) focus on geospatial data and gene sequence data. They find many systems are available. Goeanalytics is convered e.g. by ESRI. Analytics capabilities vary by tool and may include specific methods, mainly in the explorer category. diversity of providing parties (institutions, companies, private persons)",https://doi.org/10.3390/info12020069,Emergency responses + visualization,,https://www.dropbox.com/scl/fi/qsejuj6tcpvjw6qxjaja7/A-Conceptual-Model-for-Geo-Online.pdf?rlkey=264hjbakbgz2ag7t41p05oklp&dl=0,1st & 2nd round
A COVID-19 Pandemic Artificial Intelligence–Based System With Deep Learning Forecasting and Automatic Statistical Data Acquisition: Development and Implementation Study,,2021,"Oxford COVID-19 Government Response Tracker (Blavatnik School of Government, Oxford University) and COVID-19 Data Repository (Johns Hopkins University)",,,"they develop an online artificial intelligence (AI) system to analyze the dynamic trend of the COVID-19 pandemic, facilitate forecasting and predictive modeling, and produce a heat map visualization of policy measures in 171 countries.",Model,Model-Developmental Visualization,"website includes dynamic heat map, table, plot, bar chart, line chart, ","they utilized four statistical and deep learning techniques for forecasting: autoregressive integrated moving average (ARIMA), feedforward neural network (FNN), multilayer perceptron (MLP) neural network, and long short-term memory (LSTM).",https://doi.org/10.2196/27806,Emergency responses + visualization,,https://www.dropbox.com/scl/fi/pemhph4c5difpdxxwcdb3/A-COVID-19-Pandemic-Artificial-Intelligence-Based-System-With-Deep-Learning-Forecasting-and-Automatic-Statistical-Data-Acquisition-Development-and-Implementation-Study.pdf?rlkey=1rlhnnl3dxn7ub4xtbg4k7cwf&dl=0,2nd round
A critical review of emerging technologies for tackling COVID-19 pandemic,,2020,"Google Scholar, Scopus, Science Direct, PubMed, Institute of Electrical and Electronics Engineers (IEEE) Xplore Digital Library, Association for Computing Machinery (ACM) Digital Library, Wiley Library, and Springer Link.",-,,"They provided a comprehensive review of technologies for tackling COVID-19 with emphasis on the features, challenges, and country of domiciliation. ",,Disseminative Visualization,"bar chart, ","Broad distinction of technologies for COVID research and awareness (AI methods for diagnosis and detection; predictiopn; geomapping, data collection technologies). Mentioning of VIS for showing spatial distriubution of cases, tracking outbreaks, alerts). Mention ESRI as analyrics provider. Not specific VA process distinguished.",https://doi.org/10.1002/hbe2.237,,,https://www.dropbox.com/scl/fi/r79oqy9x0o97lv959fcml/A-critical-review-of-emerging-technologies-for-tackling-COVID-19-pandemic.pdf?rlkey=dyiepjcy93y5wwr0sio46unm4&dl=0,1st round
